epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.5447,0.8859,0.3105,0.3105,0.3518,0.3202,0.0209
01,0.9561,0.9137,0.3166,0.3166,0.7574,0.7493,0.0509
02,0.9842,0.8477,0.4277,0.4277,0.7969,0.7891,0.0386
03,0.9885,0.5338,0.4766,0.4766,0.7852,0.7850,0.0286
04,0.9855,0.9496,0.4980,0.4980,0.7959,0.7921,0.0250
05,0.9998,0.9537,0.6125,0.6125,0.7982,0.8005,0.0190
06,1.0000,0.9477,0.5232,0.5232,0.7957,0.7995,0.0139
07,0.9932,0.6863,0.2566,0.2566,0.7963,0.8022,0.0141
08,0.9873,0.8975,0.4156,0.4156,0.7912,0.7892,0.0170
09,0.9875,0.7693,0.3141,0.3141,0.7979,0.7986,0.0132
10,0.9920,0.9520,0.5215,0.5215,0.7992,0.7997,0.0136
11,0.9869,0.8352,0.3820,0.3820,0.7965,0.8014,0.0110
12,0.9848,0.9422,0.5904,0.5904,0.7941,0.7956,0.0162
13,0.9986,0.9320,0.5045,0.5045,0.7992,0.8023,0.0116
14,0.9920,0.7797,0.4330,0.4330,0.7996,0.8078,0.0089
15,0.9727,0.5834,0.2654,0.2654,0.7852,0.7926,0.0111
16,0.9779,0.9074,0.5746,0.5746,0.7785,0.7726,0.0129
17,0.9928,0.9502,0.5844,0.5844,0.8023,0.8063,0.0117
18,0.9967,0.8596,0.6924,0.6924,0.7896,0.8068,0.0091
19,0.9928,0.9227,0.4604,0.4604,0.7926,0.7900,0.0116
20,0.9982,0.9477,0.6309,0.6309,0.8035,0.8098,0.0089
21,1.0000,0.9520,0.5785,0.5785,0.8033,0.8133,0.0073
22,0.9990,0.9535,0.5668,0.5668,0.8025,0.8149,0.0071
23,1.0000,0.9559,0.5711,0.5711,0.8121,0.8232,0.0059
24,0.9875,0.7723,0.3127,0.3127,0.8000,0.8107,0.0053
25,0.9732,0.6275,0.1707,0.1707,0.7959,0.8060,0.0100
26,0.9752,0.8686,0.2641,0.2641,0.7943,0.8043,0.0100
27,0.9836,0.9441,0.4242,0.4242,0.7953,0.8067,0.0094
28,0.9992,0.9518,0.4768,0.4768,0.8121,0.8267,0.0093
