epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.2562,0.3036,0.1016,0.1016,0.0000,0.0000,0.0000
01,0.4030,0.3622,0.1598,0.1598,0.0000,0.0000,0.0000
02,0.4416,0.4104,0.1632,0.1632,0.0000,0.0000,0.0000
03,0.4774,0.4186,0.1768,0.1768,0.0000,0.0000,0.0000
04,0.4886,0.4314,0.1652,0.1652,0.0000,0.0000,0.0000
05,0.5040,0.4470,0.1376,0.1376,0.0000,0.0000,0.0000
06,0.5156,0.4600,0.1336,0.1336,0.0000,0.0000,0.0000
07,0.5282,0.4582,0.1422,0.1422,0.0000,0.0000,0.0000
08,0.5434,0.4530,0.1794,0.1794,0.0000,0.0000,0.0000
09,0.5514,0.4576,0.1684,0.1684,0.0000,0.0000,0.0000
10,0.5652,0.4714,0.1310,0.1310,0.0000,0.0000,0.0000
11,0.5668,0.4760,0.1406,0.1406,0.0000,0.0000,0.0000
12,0.5634,0.4678,0.1390,0.1390,0.0000,0.0000,0.0000
13,0.5752,0.4504,0.1412,0.1412,0.0000,0.0000,0.0000
14,0.5904,0.4828,0.1322,0.1322,0.0000,0.0000,0.0000
15,0.5894,0.4778,0.1680,0.1680,0.0000,0.0000,0.0000
16,0.5954,0.4824,0.1618,0.1618,0.0000,0.0000,0.0000
17,0.6016,0.4788,0.1782,0.1782,0.0000,0.0000,0.0000
18,0.5996,0.4716,0.1432,0.1432,0.0000,0.0000,0.0000
19,0.6094,0.4776,0.1404,0.1404,0.0000,0.0000,0.0000
20,0.6132,0.4822,0.1290,0.1290,0.0000,0.0000,0.0000
21,0.6144,0.4800,0.1398,0.1398,0.0000,0.0000,0.0000
22,0.6236,0.4724,0.1330,0.1330,0.0000,0.0000,0.0000
23,0.6292,0.4814,0.1618,0.1618,0.0000,0.0000,0.0000
24,0.6278,0.4906,0.1520,0.1520,0.0000,0.0000,0.0000
25,0.6270,0.4838,0.1590,0.1590,0.0000,0.0000,0.0000
26,0.6506,0.4786,0.1348,0.1348,0.0000,0.0000,0.0000
27,0.6438,0.4732,0.1780,0.1780,0.0000,0.0000,0.0000
28,0.6432,0.4888,0.1698,0.1698,0.0000,0.0000,0.0000
29,0.6480,0.4882,0.1666,0.1666,0.0000,0.0000,0.0000
30,0.6522,0.4956,0.1588,0.1588,0.0000,0.0000,0.0000
31,0.6524,0.4744,0.1628,0.1628,0.0000,0.0000,0.0000
32,0.6650,0.4822,0.1554,0.1554,0.0000,0.0000,0.0000
33,0.6674,0.4860,0.1582,0.1582,0.0000,0.0000,0.0000
34,0.6710,0.4598,0.1700,0.1700,0.0000,0.0000,0.0000
35,0.6680,0.4760,0.1474,0.1474,0.0000,0.0000,0.0000
36,0.6776,0.4776,0.1676,0.1676,0.0000,0.0000,0.0000
37,0.6878,0.4834,0.1368,0.1368,0.0000,0.0000,0.0000
38,0.6832,0.4746,0.1508,0.1508,0.0000,0.0000,0.0000
39,0.6730,0.4744,0.1580,0.1580,0.0000,0.0000,0.0000
40,0.6758,0.4902,0.1584,0.1584,0.0000,0.0000,0.0000
41,0.6918,0.4856,0.1634,0.1634,0.0000,0.0000,0.0000
42,0.6946,0.4774,0.1346,0.1346,0.0000,0.0000,0.0000
43,0.6922,0.4878,0.1406,0.1406,0.0000,0.0000,0.0000
44,0.6988,0.4774,0.1530,0.1530,0.0000,0.0000,0.0000
45,0.7024,0.4786,0.1556,0.1556,0.0000,0.0000,0.0000
46,0.7002,0.4790,0.1498,0.1498,0.0000,0.0000,0.0000
47,0.7140,0.4866,0.1540,0.1540,0.0000,0.0000,0.0000
48,0.7088,0.4788,0.1626,0.1626,0.0000,0.0000,0.0000
49,0.7042,0.4872,0.1500,0.1500,0.0000,0.0000,0.0000
