epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.3270,0.4382,0.1422,0.1422,0.0000,0.0000,0.0000
01,0.4962,0.4936,0.1588,0.1588,0.0000,0.0000,0.0000
02,0.5362,0.5172,0.1528,0.1528,0.0000,0.0000,0.0000
03,0.5704,0.5506,0.1714,0.1714,0.0000,0.0000,0.0000
04,0.5946,0.5626,0.1732,0.1732,0.0000,0.0000,0.0000
05,0.6136,0.5810,0.1768,0.1768,0.0000,0.0000,0.0000
06,0.6246,0.5758,0.1886,0.1886,0.0000,0.0000,0.0000
07,0.6456,0.5926,0.1796,0.1796,0.0000,0.0000,0.0000
08,0.6638,0.5996,0.1848,0.1848,0.0000,0.0000,0.0000
09,0.6660,0.6032,0.1638,0.1638,0.0000,0.0000,0.0000
10,0.6704,0.6056,0.1834,0.1834,0.0000,0.0000,0.0000
11,0.6782,0.6160,0.1772,0.1772,0.0000,0.0000,0.0000
12,0.6856,0.6278,0.1912,0.1912,0.0000,0.0000,0.0000
13,0.6984,0.6034,0.2354,0.2354,0.0000,0.0000,0.0000
14,0.7140,0.6304,0.2028,0.2028,0.0000,0.0000,0.0000
15,0.7122,0.6316,0.2156,0.2156,0.0000,0.0000,0.0000
16,0.7186,0.6238,0.2402,0.2402,0.0000,0.0000,0.0000
17,0.7270,0.6248,0.1842,0.1842,0.0000,0.0000,0.0000
18,0.7372,0.6098,0.1844,0.1844,0.0000,0.0000,0.0000
19,0.7410,0.6312,0.2422,0.2422,0.0000,0.0000,0.0000
20,0.7438,0.6406,0.1958,0.1958,0.0000,0.0000,0.0000
21,0.7590,0.6458,0.2100,0.2100,0.0000,0.0000,0.0000
22,0.7582,0.6432,0.1926,0.1926,0.0000,0.0000,0.0000
23,0.7600,0.6424,0.1794,0.1794,0.0000,0.0000,0.0000
24,0.7680,0.6394,0.1986,0.1986,0.0000,0.0000,0.0000
25,0.7682,0.6460,0.2024,0.2024,0.0000,0.0000,0.0000
26,0.7728,0.6550,0.2356,0.2356,0.0000,0.0000,0.0000
27,0.7774,0.6414,0.1980,0.1980,0.0000,0.0000,0.0000
28,0.7852,0.6668,0.2196,0.2196,0.0000,0.0000,0.0000
29,0.7874,0.6598,0.1836,0.1836,0.0000,0.0000,0.0000
30,0.7946,0.6578,0.2114,0.2114,0.0000,0.0000,0.0000
31,0.7934,0.6320,0.1858,0.1858,0.0000,0.0000,0.0000
32,0.8028,0.6570,0.2014,0.2014,0.0000,0.0000,0.0000
33,0.7988,0.6578,0.1910,0.1910,0.0000,0.0000,0.0000
34,0.8002,0.6470,0.2128,0.2128,0.0000,0.0000,0.0000
35,0.8052,0.6622,0.2158,0.2158,0.0000,0.0000,0.0000
36,0.8042,0.6540,0.2126,0.2126,0.0000,0.0000,0.0000
37,0.8106,0.6540,0.2104,0.2104,0.0000,0.0000,0.0000
38,0.8192,0.6428,0.2390,0.2390,0.0000,0.0000,0.0000
39,0.8108,0.6422,0.2160,0.2160,0.0000,0.0000,0.0000
40,0.8174,0.6488,0.2102,0.2102,0.0000,0.0000,0.0000
41,0.8286,0.6662,0.2236,0.2236,0.0000,0.0000,0.0000
42,0.8204,0.6530,0.2160,0.2160,0.0000,0.0000,0.0000
43,0.8294,0.6518,0.1982,0.1982,0.0000,0.0000,0.0000
44,0.8308,0.6430,0.2232,0.2232,0.0000,0.0000,0.0000
45,0.8388,0.6514,0.2068,0.2068,0.0000,0.0000,0.0000
46,0.8344,0.6620,0.2258,0.2258,0.0000,0.0000,0.0000
47,0.8414,0.6628,0.2352,0.2352,0.0000,0.0000,0.0000
48,0.8450,0.6522,0.2232,0.2232,0.0000,0.0000,0.0000
49,0.8364,0.6496,0.1906,0.1906,0.0000,0.0000,0.0000
