epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.3030,0.3956,0.1276,0.1276,0.0000,0.0000,0.0000
01,0.4674,0.4846,0.1102,0.1102,0.0000,0.0000,0.0000
02,0.5194,0.5170,0.1146,0.1146,0.0000,0.0000,0.0000
03,0.5488,0.5368,0.1292,0.1292,0.0000,0.0000,0.0000
04,0.5896,0.5516,0.1530,0.1530,0.0000,0.0000,0.0000
05,0.5926,0.5648,0.1440,0.1440,0.0000,0.0000,0.0000
06,0.6200,0.5694,0.1438,0.1438,0.0000,0.0000,0.0000
07,0.6294,0.5710,0.1310,0.1310,0.0000,0.0000,0.0000
08,0.6526,0.6114,0.1802,0.1802,0.0000,0.0000,0.0000
09,0.6540,0.5842,0.1614,0.1614,0.0000,0.0000,0.0000
10,0.6648,0.5988,0.1888,0.1888,0.0000,0.0000,0.0000
11,0.6762,0.6166,0.1810,0.1810,0.0000,0.0000,0.0000
12,0.6866,0.6226,0.1708,0.1708,0.0000,0.0000,0.0000
13,0.6904,0.6302,0.1846,0.1846,0.0000,0.0000,0.0000
14,0.7054,0.6304,0.1812,0.1812,0.0000,0.0000,0.0000
15,0.7066,0.6164,0.2090,0.2090,0.0000,0.0000,0.0000
16,0.7200,0.6272,0.1844,0.1844,0.0000,0.0000,0.0000
17,0.7250,0.6318,0.1936,0.1936,0.0000,0.0000,0.0000
18,0.7242,0.6334,0.2034,0.2034,0.0000,0.0000,0.0000
19,0.7400,0.6166,0.1818,0.1818,0.0000,0.0000,0.0000
20,0.7364,0.6344,0.1810,0.1810,0.0000,0.0000,0.0000
21,0.7508,0.6394,0.2020,0.2020,0.0000,0.0000,0.0000
22,0.7568,0.6314,0.1776,0.1776,0.0000,0.0000,0.0000
23,0.7512,0.6450,0.1868,0.1868,0.0000,0.0000,0.0000
24,0.7550,0.6224,0.1860,0.1860,0.0000,0.0000,0.0000
25,0.7572,0.6262,0.1856,0.1856,0.0000,0.0000,0.0000
26,0.7656,0.6288,0.1938,0.1938,0.0000,0.0000,0.0000
27,0.7668,0.6388,0.2094,0.2094,0.0000,0.0000,0.0000
28,0.7818,0.6336,0.2028,0.2028,0.0000,0.0000,0.0000
29,0.7728,0.6432,0.1944,0.1944,0.0000,0.0000,0.0000
30,0.7836,0.6186,0.1682,0.1682,0.0000,0.0000,0.0000
31,0.7806,0.6114,0.1746,0.1746,0.0000,0.0000,0.0000
32,0.7874,0.6154,0.1970,0.1970,0.0000,0.0000,0.0000
33,0.7888,0.6256,0.2166,0.2166,0.0000,0.0000,0.0000
34,0.7900,0.6226,0.2024,0.2024,0.0000,0.0000,0.0000
35,0.7962,0.6270,0.1794,0.1794,0.0000,0.0000,0.0000
36,0.7950,0.6236,0.2052,0.2052,0.0000,0.0000,0.0000
37,0.8078,0.6244,0.2230,0.2230,0.0000,0.0000,0.0000
38,0.8132,0.6232,0.1850,0.1850,0.0000,0.0000,0.0000
39,0.7982,0.6202,0.2096,0.2096,0.0000,0.0000,0.0000
40,0.8072,0.6358,0.1916,0.1916,0.0000,0.0000,0.0000
41,0.8148,0.6028,0.2376,0.2376,0.0000,0.0000,0.0000
42,0.8186,0.6346,0.1954,0.1954,0.0000,0.0000,0.0000
43,0.8244,0.6398,0.1802,0.1802,0.0000,0.0000,0.0000
44,0.8186,0.6410,0.1990,0.1990,0.0000,0.0000,0.0000
45,0.8204,0.6270,0.1984,0.1984,0.0000,0.0000,0.0000
46,0.8276,0.6308,0.2128,0.2128,0.0000,0.0000,0.0000
47,0.8348,0.6198,0.1764,0.1764,0.0000,0.0000,0.0000
48,0.8254,0.6412,0.2040,0.2040,0.0000,0.0000,0.0000
49,0.8282,0.6210,0.1902,0.1902,0.0000,0.0000,0.0000
